Element,Group,Electronegativity,AtomicRadius,FirstIonizationEnergy,period,block,Energy (eV)
Nd,6,1.14,1.85,5.53,8,300,
Ba,2,0.89,2.15,5.21,6,100,
Pr,5,1.13,1.85,5.47,8,300,
In,13,1.78,1.55,5.79,5,115,
Be,2,1.57,1.05,9.32,2,100,
Cu,11,1.9,1.35,7.73,4,200,
Ge,14,2.01,1.25,7.9,4,115,
I,17,2.66,1.4,10.45,5,115,
O,16,3.44,0.6,13.62,2,115,
Cd,12,1.69,1.55,8.99,5,200,
Sb,15,2.05,1.45,8.61,5,115,
Rb,1,0.82,2.35,4.18,5,100,
Cr,6,1.66,1.4,6.77,4,200,
Cl,17,3.16,1,12.97,3,115,
Co,9,1.88,1.35,7.88,4,200,
Mo,6,2.16,1.45,7.1,5,200,
As,15,2.18,1.15,9.81,4,115,
S,16,2.58,1,10.36,3,115,
Ru,8,2.2,1.3,7.36,5,200,
Al,13,1.61,1.25,5.99,3,115,
Ti,4,1.54,1.4,6.83,4,200,
Si,14,1.9,1.1,8.15,3,115,
V,5,1.63,1.35,6.74,4,200,
Se,16,2.55,1.15,9.75,4,115,
Ga,13,1.81,1.3,5.99,4,115,
Mg,2,1.31,1.5,7.65,3,100,
H,1,2.2,0.25,13.6,1,100,
Br,17,2.96,1.15,11.81,4,115,
Pd,10,2.2,1.4,8.34,5,200,
N,15,3.04,0.65,14.53,2,115,
C,14,2.55,0.7,11.26,2,115,
Na,1,0.93,1.8,5.14,3,100,
